Section,PRD Requirement / Feature,Expected Evidence Inside Completed Colab Notebook,Student Status,Reviewer Notes
Data Setup,Upload and extract ola_city_ride_issue_dataset.zip,Dataset extraction cell output and file path confirmation,,
FR-01,"Multi-file loader for CSV, Excel, JSON, TXT",Loaded DataFrame dictionary and row/column summary for all files,,
FR-02,Data validation engine,"Validation report table showing missing columns, duplicates, null checks, orphan keys",,
FR-03,Data cleaning and standardization,Cleaned status/payment/date/amount/city fields and cleaning summary,,
FR-04,Cancellation classification,cancellation_category and cancellation_owner columns with distribution output,,
FR-05,Driver delay and wait-time SLA analysis,delay_issue_flag and delay_bucket with SLA breach counts,,
FR-06,Refund logic and SLA analysis,"refund_issue_tag including SLA breach, pending, failed, mismatch, missing record",,
FR-07,Complaint linking engine,Complaint counts/status/severity linked to ride-level report,,
FR-08,Support ticket mapping,Ticket status/team/SLA flags linked to ride-level report,,
FR-09,Repeated issue detection,repeated_customer_issue_flag and repeat issue evidence preview,,
FR-10,City-wise issue analysis,"City issue summary with cancellation, delay, refund, complaint, ticket, P0/P1 metrics",,
FR-11,Final master issue table,"One row per ride with clean features, issue flags, and business labels",,
FR-12,Priority classification,P0/P1/P2/P3/No Issue labels with priority_reason and hierarchy handling,,
FR-13,Recommended action generator,recommended_action column and action distribution,,
FR-14,AI-ready operations prompt generator,AI prompt examples and AI Prompt Usage Log inside notebook,,
FR-15,RideIssueCase OOP class,Class-based case summary for a valid ride ID and invalid ride ID handling,,
FR-16,Ride search GUI,Colab widget/search function output for valid and invalid ride IDs,,
FR-17,Filter-based operations view,Filter output by priority/refund/city/cancellation/ticket status,,
FR-18,Final report export,Exported CSV files and report preview evidence inside notebook,,
FR-19,Final validation checks,Final validation summary with pass/warning/fail status,,
Deliverables,Notebook-based deliverable placeholders filled,"Debug log, AI log, PRD mapping, assumptions, preview evidence, walkthrough, self-check, presentation notes",,
Rubric,100-mark evaluation rubric reviewed,Rubric visible in completed notebook,,
